product_name,category,quantity,unit_price
T-Shirt,Clothing,100,9.99
Jeans,Clothing,50,29.99
Jacket,Clothing,20,49.99
Sweater,Clothing,30,39.99
Shirt,Clothing,40,19.99
Skirt,Clothing,25,24.99
Dress,Clothing,20,34.99
Shorts,Clothing,60,14.99
Hoodie,Clothing,35,44.99
Coat,Clothing,15,89.99
Scarf,Clothing,80,12.99
Hat,Clothing,50,9.99
Socks,Clothing,120,2.99
Gloves,Clothing,40,7.99
Shoes,Clothing,30,59.99
Sneakers,Clothing,25,49.99
Belt,Clothing,70,14.99
Tie,Clothing,40,11.99
Suit,Clothing,10,199.99
Tracksuit,Clothing,20,59.99
