product_name,category,quantity,unit_price
Smartphone,Electronics,50,699.99
Laptop,Electronics,30,1299.49
Tablet,Electronics,20,499.99
Headphones,Electronics,100,89.99
Smartwatch,Electronics,15,199.99
Desktop,Electronics,10,899.99
Keyboard,Electronics,70,49.99
Mouse,Electronics,60,25.99
Monitor,Electronics,25,199.99
Camera,Electronics,40,349.99
Speaker,Electronics,35,129.99
Router,Electronics,30,99.99
Hard Drive,Electronics,20,79.99
Flash Drive,Electronics,150,12.99
Drone,Electronics,10,499.99
Power Bank,Electronics,80,29.99
Charger,Electronics,120,19.99
Projector,Electronics,15,599.99
VR Headset,Electronics,5,399.99
Gaming Console,Electronics,25,499.99
