product_name,category,quantity,unit_price
Sofa,Furniture,10,799.99
Dining Table,Furniture,5,699.99
Chair,Furniture,50,49.99
Bed,Furniture,7,899.99
Wardrobe,Furniture,6,499.99
Bookshelf,Furniture,15,199.99
Desk,Furniture,20,249.99
Coffee Table,Furniture,30,129.99
Cabinet,Furniture,10,349.99
Armchair,Furniture,12,299.99
Stool,Furniture,40,39.99
TV Stand,Furniture,15,149.99
Drawer,Furniture,25,179.99
Dressing Table,Furniture,8,399.99
Mattress,Furniture,10,299.99
Mirror,Furniture,20,89.99
Nightstand,Furniture,25,79.99
Shelf,Furniture,30,49.99
Cupboard,Furniture,10,399.99
Outdoor Chair,Furniture,15,59.99
