product_name,category,quantity,unit_price
Football,Sports,30,19.99
Basketball,Sports,20,29.99
Tennis Ball,Sports,50,2.99
Badminton Set,Sports,10,49.99
Golf Club,Sports,15,79.99
Racket,Sports,25,39.99
Cricket Bat,Sports,20,59.99
Hockey Stick,Sports,10,69.99
Baseball,Sports,40,5.99
Helmet,Sports,30,19.99
Knee Pads,Sports,25,14.99
Swimming Goggles,Sports,35,9.99
Tennis Racket,Sports,20,89.99
Yoga Mat,Sports,50,19.99
Skipping Rope,Sports,60,9.99
Fishing Rod,Sports,15,29.99
Camping Tent,Sports,10,99.99
Dumbbells,Sports,40,24.99
Treadmill,Sports,5,399.99
Punching Bag,Sports,10,79.99
