product_name,category,quantity,unit_price
Action Figure,Toys,30,19.99
Board Game,Toys,20,29.99
Doll,Toys,40,14.99
Puzzle,Toys,50,9.99
Building Blocks,Toys,25,34.99
Remote Car,Toys,15,49.99
Play-Doh,Toys,60,7.99
Toy Gun,Toys,35,24.99
Stuffed Animal,Toys,50,12.99
Water Gun,Toys,40,8.99
Drone Toy,Toys,10,99.99
Toy Train,Toys,20,44.99
Lego Set,Toys,15,59.99
Kite,Toys,30,14.99
Slime,Toys,70,5.99
Marbles,Toys,100,2.99
Yo-Yo,Toys,80,4.99
RC Helicopter,Toys,5,129.99
Toy Plane,Toys,25,39.99
Beach Set,Toys,50,9.99
