product_name,category,quantity,unit_price
Tire,Automotive,20,89.99
Car Battery,Automotive,10,129.99
Oil Filter,Automotive,50,14.99
Air Filter,Automotive,40,19.99
Spark Plug,Automotive,60,5.99
Brake Pad,Automotive,30,49.99
Car Jack,Automotive,15,79.99
Wiper Blade,Automotive,25,9.99
Steering Wheel Cover,Automotive,40,14.99
Car Wash Soap,Automotive,70,6.99
Microfiber Cloth,Automotive,100,2.99
Tire Pump,Automotive,20,19.99
Seat Cover,Automotive,10,59.99
Headlight Bulb,Automotive,30,14.99
Radiator,Automotive,5,299.99
Engine Oil,Automotive,40,24.99
Transmission Fluid,Automotive,30,19.99
Brake Fluid,Automotive,50,9.99
Coolant,Automotive,20,14.99
Tool Kit,Automotive,15,49.99
Lipstick,Beauty,80,9.99
Foundation,Beauty,50,19.99
Mascara,Beauty,40,14.99
Eyeliner,Beauty,60,7.99
Eyeshadow,Beauty,30,12.99
Blush,Beauty,25,8.99
Nail Polish,Beauty,70,4.99
Perfume,Beauty,20,49.99
Lotion,Beauty,35,14.99
Shampoo,Beauty,50,8.99
Conditioner,Beauty,40,9.99
Body Wash,Beauty,60,7.99
Face Cream,Beauty,25,19.99
Sunscreen,Beauty,30,14.99
Makeup Brush,Beauty,40,9.99
Hair Gel,Beauty,35,6.99
Deodorant,Beauty,60,4.99
Razor,Beauty,50,3.99
Hair Dryer,Beauty,15,39.99
Straightener,Beauty,10,49.99
Novel,Books,80,12.99
Dictionary,Books,30,19.99
Cookbook,Books,25,24.99
Children's Book,Books,60,9.99
Biography,Books,20,15.99
Science Book,Books,15,29.99
History Book,Books,20,14.99
Mystery Novel,Books,40,11.99
Romance Novel,Books,50,9.99
Horror Novel,Books,30,10.99
Comic Book,Books,70,6.99
Art Book,Books,15,39.99
Travel Guide,Books,20,19.99
Textbook,Books,25,49.99
Notebook,Books,100,3.99
Planner,Books,80,4.99
Workbook,Books,60,7.99
Journal,Books,90,8.99
Manual,Books,35,24.99
Encyclopedia,Books,10,99.99
T-Shirt,Clothing,100,9.99
Jeans,Clothing,50,29.99
Jacket,Clothing,20,49.99
Sweater,Clothing,30,39.99
Shirt,Clothing,40,19.99
Skirt,Clothing,25,24.99
Dress,Clothing,20,34.99
Shorts,Clothing,60,14.99
Hoodie,Clothing,35,44.99
Coat,Clothing,15,89.99
Scarf,Clothing,80,12.99
Hat,Clothing,50,9.99
Socks,Clothing,120,2.99
Gloves,Clothing,40,7.99
Shoes,Clothing,30,59.99
Sneakers,Clothing,25,49.99
Belt,Clothing,70,14.99
Tie,Clothing,40,11.99
Suit,Clothing,10,199.99
Tracksuit,Clothing,20,59.99
Smartphone,Electronics,50,699.99
Laptop,Electronics,30,1299.49
Tablet,Electronics,20,499.99
Headphones,Electronics,100,89.99
Smartwatch,Electronics,15,199.99
Desktop,Electronics,10,899.99
Keyboard,Electronics,70,49.99
Mouse,Electronics,60,25.99
Monitor,Electronics,25,199.99
Camera,Electronics,40,349.99
Speaker,Electronics,35,129.99
Router,Electronics,30,99.99
Hard Drive,Electronics,20,79.99
Flash Drive,Electronics,150,12.99
Drone,Electronics,10,499.99
Power Bank,Electronics,80,29.99
Charger,Electronics,120,19.99
Projector,Electronics,15,599.99
VR Headset,Electronics,5,399.99
Gaming Console,Electronics,25,499.99
Sofa,Furniture,10,799.99
Dining Table,Furniture,5,699.99
Chair,Furniture,50,49.99
Bed,Furniture,7,899.99
Wardrobe,Furniture,6,499.99
Bookshelf,Furniture,15,199.99
Desk,Furniture,20,249.99
Coffee Table,Furniture,30,129.99
Cabinet,Furniture,10,349.99
Armchair,Furniture,12,299.99
Stool,Furniture,40,39.99
TV Stand,Furniture,15,149.99
Drawer,Furniture,25,179.99
Dressing Table,Furniture,8,399.99
Mattress,Furniture,10,299.99
Mirror,Furniture,20,89.99
Nightstand,Furniture,25,79.99
Shelf,Furniture,30,49.99
Cupboard,Furniture,10,399.99
Outdoor Chair,Furniture,15,59.99
Apple,Grocery,200,0.5
Banana,Grocery,150,0.3
Milk,Grocery,100,1.2
Bread,Grocery,80,2.5
Cheese,Grocery,50,3.0
Butter,Grocery,60,2.8
Eggs,Grocery,90,0.2
Orange,Grocery,180,0.4
Chicken,Grocery,40,6.5
Beef,Grocery,30,8.5
Fish,Grocery,20,7.0
Rice,Grocery,100,1.1
Pasta,Grocery,110,1.3
Tomato,Grocery,120,0.7
Potato,Grocery,150,0.5
Onion,Grocery,130,0.4
Garlic,Grocery,70,0.8
Pepper,Grocery,60,1.0
Cucumber,Grocery,80,0.9
Lettuce,Grocery,100,0.6
Football,Sports,30,19.99
Basketball,Sports,20,29.99
Tennis Ball,Sports,50,2.99
Badminton Set,Sports,10,49.99
Golf Club,Sports,15,79.99
Racket,Sports,25,39.99
Cricket Bat,Sports,20,59.99
Hockey Stick,Sports,10,69.99
Baseball,Sports,40,5.99
Helmet,Sports,30,19.99
Knee Pads,Sports,25,14.99
Swimming Goggles,Sports,35,9.99
Tennis Racket,Sports,20,89.99
Yoga Mat,Sports,50,19.99
Skipping Rope,Sports,60,9.99
Fishing Rod,Sports,15,29.99
Camping Tent,Sports,10,99.99
Dumbbells,Sports,40,24.99
Treadmill,Sports,5,399.99
Punching Bag,Sports,10,79.99
Hammer,Tools,30,19.99
Screwdriver,Tools,50,9.99
Wrench,Tools,40,14.99
Drill,Tools,15,89.99
Saw,Tools,20,29.99
Pliers,Tools,35,12.99
Tape Measure,Tools,60,7.99
Sander,Tools,10,49.99
Nail Gun,Tools,10,99.99
Toolbox,Tools,25,39.99
Level,Tools,20,19.99
Ladder,Tools,10,59.99
Electric Screwdriver,Tools,15,29.99
Chisel,Tools,30,14.99
Paint Brush,Tools,50,4.99
Roller,Tools,40,7.99
Glue Gun,Tools,25,12.99
Flashlight,Tools,60,9.99
Socket Set,Tools,20,24.99
Safety Goggles,Tools,40,8.99
Action Figure,Toys,30,19.99
Board Game,Toys,20,29.99
Doll,Toys,40,14.99
Puzzle,Toys,50,9.99
Building Blocks,Toys,25,34.99
Remote Car,Toys,15,49.99
Play-Doh,Toys,60,7.99
Toy Gun,Toys,35,24.99
Stuffed Animal,Toys,50,12.99
Water Gun,Toys,40,8.99
Drone Toy,Toys,10,99.99
Toy Train,Toys,20,44.99
Lego Set,Toys,15,59.99
Kite,Toys,30,14.99
Slime,Toys,70,5.99
Marbles,Toys,100,2.99
Yo-Yo,Toys,80,4.99
RC Helicopter,Toys,5,129.99
Toy Plane,Toys,25,39.99
Beach Set,Toys,50,9.99
